Geo Place Name
Southeast Queens
Bensonhurst - Bay Ridge
Rockaways
Coney Island - Sheepshead Bay
Williamsburg - Bushwick
Bayside - Little Neck
Pelham - Throgs Neck
Upper West Side
East New York
Canarsie - Flatlands
Jamaica
Gramercy Park - Murray Hill
Hunts Point - Mott Haven
Southwest Queens
Greenwich Village - SoHo
Brooklyn
Downtown - Heights - Slope
Washington Heights
Northeast Bronx
Greenpoint
Long Island City - Astoria
Port Richmond
Kingsbridge - Riverdale
Throgs Neck and Co-op City (CD10)
Williamsbridge and Baychester (CD12)
Jamaica and Hollis (CD12)
South Ozone Park and Howard Beach (CD10)
Kingsbridge Heights and Bedford (CD7)
Sunset Park (CD7)
Rockaway and Broad Channel (CD14)
Upper West Side (CD7)
Flushing and Whitestone (CD7)
Bushwick (CD4)
Bedford Stuyvesant (CD3)
Jackson Heights (CD3)
East Flatbush - Flatbush
Elmhurst and Corona (CD4)
Highbridge and Concourse (CD4)
Lower East Side and Chinatown (CD3)
Morrisania and Crotona (CD3)
Upper East Side (CD8)
Central Harlem (CD10)
Washington Heights and Inwood (CD12)
Union Square - Lower East Side
Manhattan
Bedford Stuyvesant - Crown Heights
High Bridge - Morrisania
Woodside and Sunnyside (CD2)
Hunts Point and Longwood (CD2)
Greenwich Village and Soho (CD2)
Upper East Side
Crotona -Tremont
Flushing - Clearview
East Harlem
Fordham - Bronx Pk
Chelsea - Clinton
Central Harlem - Morningside Heights
Fresh Meadows
Bay Ridge and Dyker Heights (CD10)
Fort Greene and Brooklyn Heights (CD2)
Greenpoint and Williamsburg (CD1)
Mott Haven and Melrose (CD1)
Lower Manhattan
West Queens
Parkchester and Soundview (CD9)
Kew Gardens and Woodhaven (CD9)
Morris Park and Bronxdale (CD11)
Bayside and Little Neck (CD11)
Morningside Heights and Hamilton Heights (CD9)
East Harlem (CD11)
South Crown Heights and Lefferts Gardens (CD9)
East New York and Starrett City (CD5)
Midtown (CD5)
Queens
Queens Village (CD13)
Park Slope and Carroll Gardens (CD6)
Stuyvesant Town and Turtle Bay (CD6)
Hillcrest and Fresh Meadows (CD8)
Bronx
Long Island City and Astoria (CD1)
Fordham and University Heights (CD5)
Riverdale and Fieldston (CD8)
Clinton and Chelsea (CD4)
Crown Heights and Prospect Heights (CD8)
Rego Park and Forest Hills (CD6)
Bensonhurst (CD11)
Sunset Park
Brownsville (CD16)
St. George and Stapleton (CD1)
Financial District (CD1)
Borough Park
Coney Island (CD13)
Sheepshead Bay (CD15)
Staten Island
Ridgewood - Forest Hills
Belmont and East Tremont (CD6)
Flatbush and Midwood (CD14)
Borough Park (CD12)
East Flatbush (CD17)
Ridgewood and Maspeth (CD5)
Willowbrook
Northern SI
Stapleton - St. George
Southern SI
Flatlands and Canarsie (CD18)
South Beach and Willowbrook (CD2)
Bayside Little Neck-Fresh Meadows
South Beach - Tottenville
South Bronx
Tottenville and Great Kills (CD3)
""
Upper East Side-Gramercy
Chelsea-Village
Union Square-Lower Manhattan
New York City
